company,mcap,operating margin,net debt / ebit,roe,croic,p/fcf,revenues,ev/fcf,total_score,gross margin
0,80237921664,0.21194,-0.31514,0.41757,0.10884,12.50452,0.03407,12.39771,1.0,0.35377
1,1210301944,0.16897,-4.0668,0.22901,0.18061,22.31741,0.26287,18.93754,3.0,0.80693
2,203156739099,0.16241,1.07425,0.14407,0.10286,32.20963,0.31686,33.23019,1.0,0.55552
38,294352563602,0.27528,4.17309,0.84368,0.20261,18.80688,0.70539,22.86976,2.0,0.67205
3,7282794772,0.14191,0.2322,0.41082,0.24858,13.24261,0.34824,13.61567,2.0,0.646
39,2697212553,0.02562,-19.433,0.05915,0.13166,13.20146,1.90803,10.73901,1.0,0.91725
40,238205732894,0.15462,-0.08805,0.25651,0.2272,25.80666,0.48393,27.66035,2.0,0.32609
4,155494787,0.07324,1.91512,0.18361,0.08349,24.64657,0.30196,30.27185,nan,0.39367
5,9782136881,0.14407,-0.63173,0.17782,0.25449,17.62321,0.10042,17.12408,1.0,0.46398
41,4208172100,0.11744,2.21554,0.20838,0.19949,18.05727,0.48742,19.87563,nan,0.53481
42,2179600423,0.09151,-2.14799,0.07772,0.16677,15.66856,0.70661,15.87002,1.0,0.32276
715,43858785469,0.09381,-0.80827,0.27832,0.23085,12.30144,0.20842,11.81958,2.0,0.50701
6,4876730919,0.30013,0.21478,0.71625,0.26807,60.31534,15.59245,62.177,nan,0.4893
43,219928322000,0.35934,-0.1899,0.36851,0.30279,34.37557,0.90817,33.3685,3.0,0.88657
44,3290568218,0.17838,1.31984,0.12326,0.1115,13.37001,0.63935,15.31457,1.0,0.56164
45,10007590622,0.24294,1.08726,0.32986,0.23644,25.33398,0.57815,27.28908,nan,0.39058
7,6849450985,0.0865,3.1253,0.04096,0.03662,19.38546,0.23225,29.99079,nan,0.25393
8,36114214968,0.22903,0.77487,0.23937,0.1507,25.85804,0.23862,26.30167,2.0,0.54394
9,13123829497,0.1649,2.39324,0.10975,0.1033,14.55786,0.41522,17.66697,1.0,0.59664
10,2299868889,0.10547,0.48028,0.11729,0.18335,14.70856,0.4763,15.37843,1.0,0.25869
46,2953882598,0.1119,-1.82473,0.17115,0.08658,16.66458,0.88065,16.1484,nan,0.64954
47,2614489000,0.12268,1.51134,0.10085,0.12542,22.27332,0.73147,24.38267,nan,0.30828
48,16616278095,0.17158,-1.53331,0.11195,0.13471,44.93426,0.61009,42.15498,nan,0.69984
49,4446332920,0.29003,-1.42041,0.25799,0.22344,14.51195,0.4815,12.37102,3.0,0.8317
50,8306077957,0.11983,2.89739,0.21951,0.11735,37.22072,0.0319,49.9828,nan,0.20109
51,12006672292,0.20497,1.99555,0.3641,0.21169,20.67568,0.2924,23.15993,nan,0.43961
52,10046515244,0.30649,1.63441,0.44787,0.15454,14.35029,0.23169,16.48573,nan,0.47659
53,3141153693,0.13794,-1.04983,0.22157,0.26931,6.23733,0.2777,5.27496,nan,0.21825
54,58843045,0.07255,-1.57717,0.07593,0.06781,14.49151,0.42698,11.91543,nan,0.39285
55,2259295980000,0.30929,-0.76995,0.30011,0.18543,40.50904,1.17951,39.31912,3.0,0.57845
56,8869714162,0.04547,-9.77683,0.03926,0.06299,68.85872,0.50838,68.40021,nan,0.81293
11,2151476402347,0.09772,-0.54722,0.19243,0.09485,49.5452,1.27029,51.17142,1.0,0.48406
57,14294444367,0.09934,5.1055,0.19359,0.11735,21.1775,0.0676,32.20227,nan,0.20118
12,2947601790,0.09001,0.65312,0.06909,0.1697,14.47375,0.1881,15.85665,nan,0.20955
13,3347668304,0.08014,2.61008,0.14639,0.10696,11.61459,0.24035,15.24421,nan,0.39179
14,339362916,0.05605,-2.01184,0.03453,0.06315,11.1487,1.25551,8.91151,1.0,0.5193
15,54576514249,0.27929,-11.43384,0.61446,0.04331,7.02084,0.35347,-0.33601,nan,0.3387
16,44748783773,0.25405,1.1052,0.13945,0.12598,26.54644,0.33834,27.71466,nan,0.35406
17,6257029992,0.07184,-0.73971,0.08718,0.10383,14.51855,0.71746,14.11542,nan,0.14993
58,2097312107,0.29612,1.61586,0.21675,0.1617,12.42008,1.38609,14.39277,2.0,0.52981
18,85574404281,0.21252,1.28965,0.23012,0.22383,38.07476,0.92269,39.99977,nan,0.33441
19,104477117736,0.23156,2.47377,0.04705,0.06281,35.50183,0.56215,37.40259,1.0,0.57852
20,29691008382,0.28175,-0.77829,0.09741,0.11314,40.52941,0.7502,40.04222,nan,0.88768
59,81997359304,0.25861,4.09093,0.37174,0.17537,27.22381,0.5641,34.04255,nan,0.48084
21,8104082809,0.38033,1.96682,0.53676,0.03187,9.23122,0.58698,19.45439,1.0,0.49108
22,8303979372,0.18485,-2.35138,0.31878,0.34193,47.78984,2.02838,46.404,3.0,0.64957
60,3704443004,0.19259,6.34451,0.06218,0.06739,11.38134,0.14353,11.82263,nan,0.35812
23,3450640074440,0.3151,0.3383,1.64594,0.59516,32.17323,0.48235,32.07678,2.0,0.46206
24,10237157011,0.10892,0.12035,0.21917,0.15971,25.23507,0.28321,25.28132,nan,0.29815
25,139579856139,0.29016,-0.36525,0.39544,0.24784,21.39522,0.90286,20.8114,2.0,0.47408
61,11106068759,0.1387,1.50907,0.13156,0.1541,29.22313,0.29662,31.57131,nan,0.37454
62,12247712359,0.10003,3.90015,0.26354,0.05732,12.04746,0.36387,17.9344,nan,0.18611
26,3033554180,0.105,-0.50174,0.1788,0.14284,14.48096,0.06757,13.76583,nan,0.14038
63,4298723776,0.30202,6.77633,0.11271,0.06603,48.56096,0.19274,82.26694,nan,0.58408
64,31173967380,0.47585,5.85069,0.20153,0.12546,39.63674,1.32823,59.13945,nan,0.65648
27,2009287906,0.0628,-10.741,0.1414,0.50785,11.72289,2.60004,9.03286,1.0,0.12891
65,118952793809,0.42111,-2.6674,0.2882,0.3834,37.24204,1.76726,35.10933,3.0,0.6441
28,6687297348,0.19045,2.47137,0.36188,0.08753,42.08017,0.34228,45.28799,1.0,0.39563
66,2948305000,0.31389,0.07632,0.62658,0.27268,9.21723,0.37752,10.33034,2.0,0.4524
29,4906070856,0.059,3.43198,0.10623,0.08367,19.39288,1.30005,38.17036,nan,0.1741
67,3095843407,0.21688,0.86688,0.34625,0.1549,8.09759,0.66642,9.44842,nan,0.35425
30,65618000000,0.22239,0.56273,0.42724,0.16858,61.1434,0.88881,61.96039,nan,0.90801
31,7534179540,0.07469,2.01141,0.16184,0.02671,15.78173,0.25676,19.26582,nan,0.158
32,121234726324,0.26136,0.19794,0.71961,0.33584,29.84258,0.38247,30.17743,3.0,0.52987
33,6534883805,0.04878,3.5204,0.30461,0.10484,-26.13991,0.20598,-58.55944,nan,0.18082
68,15828243361,0.12723,2.66769,0.28155,0.18977,24.79645,0.23958,29.33863,1.0,0.29002
34,182741083,0.06299,-0.29526,0.05281,0.08739,-9.95289,0.37678,-12.14427,nan,0.35776
35,4543533942,0.03495,3.40859,0.06916,0.12847,7.1625,0.2104,11.40654,nan,0.11403
69,8465215132,0.12926,4.34872,0.16766,0.1553,16.50112,0.19241,22.1776,nan,0.33721
36,2283554298,0.21875,-2.275,0.22765,0.21241,13.03598,2.69407,9.94418,2.0,0.44279
37,2591629145,0.14478,4.09924,0.02635,0.08154,13.50751,0.42918,21.44123,nan,0.23662
70,6207707162,0.1876,-1.7173,0.2012,0.30418,47.29479,0.91851,45.42922,2.0,0.39547
71,5771094821,0.18443,0.88208,0.10324,0.16302,35.33065,0.51291,36.65171,1.0,0.34473
72,17878699383,0.10472,3.38372,0.62147,0.13185,-77.12467,0.04368,-92.52565,nan,0.20693
73,4787152791,0.10282,3.71413,0.14452,0.10403,22.99075,0.23118,27.39664,nan,0.37455
74,1703374207,0.04484,-0.37855,0.05664,0.21728,6.94029,0.18464,7.23903,nan,0.1015
75,14133206446,0.21197,4.83534,0.3523,0.10124,34.59933,0.79633,36.44509,nan,0.8039
76,1035227384920,0.34778,0.79442,0.16916,0.19195,6.11941,0.43131,6.73968,nan,0.29203
77,10545648766,0.1942,0.93005,0.07047,0.09581,42.83969,0.57964,44.00083,1.0,0.65514
78,11810429502,0.12433,-0.98117,0.05954,0.02884,38.97403,0.61732,38.11353,1.0,0.78946
79,128990555,0.08874,-0.7171,0.16592,0.15225,26.65008,0.70936,26.5148,nan,0.37212
80,3605414562,0.0438,1.62578,0.31903,0.07183,21.89851,1.21433,22.62018,1.0,0.75272
95,152292369517,0.36262,-0.07299,0.15057,0.06293,35.89654,0.36351,36.14625,nan,0.4756
96,133505519072,0.52037,-5.15647,0.11428,0.28656,34.11305,1.48458,30.7179,2.0,0.63635
97,57283209880,0.06177,-1.83361,0.05671,0.02671,79.30932,3.71846,72.16884,nan,0.36055
98,1218513591,0.10994,0.06208,0.72479,0.50867,8584.04166,0.07965,8.72299,nan,0.18966
99,1014483130,0.04844,0.91092,0.15621,0.26086,9.26603,0.20301,9.90538,1.0,0.17109
81,48188699228,0.12046,5.8935,0.1704,0.0739,2.93624,0.22336,8.67981,nan,0.19765
82,5306740995,0.07595,-0.55784,0.19072,0.16983,21.03495,0.34989,19.56841,nan,0.20102
100,17622416852,0.11512,2.31618,0.69035,0.15328,19.35193,0.72919,22.4303,nan,0.54853
83,133130836720,0.17769,2.96533,0.08532,0.08211,70.0244,0.55486,74.79391,nan,0.68963
84,4748013603,0.06688,-0.03868,2.15086,0.51808,15.58031,0.565,15.45886,2.0,0.768
85,6318938117,0.24679,2.93395,0.30644,0.15204,12.95725,0.17287,18.65138,1.0,0.48717
86,6345462519,0.08625,3.71404,0.08333,0.0974,29.19861,0.40563,37.3548,nan,0.22644
87,5426002510,0.06773,2.57055,14.66142,0.15837,25.03411,0.44911,34.19976,1.0,0.14882
88,4004650849,0.09024,5.92255,0.32766,0.11567,17.31245,0.35556,29.78182,nan,0.25288
101,772279755324,0.30554,4.19512,0.07761,0.12306,39.74515,1.37026,44.52382,1.0,0.63898
89,26281404602,0.15438,3.28227,0.31144,0.1783,30.65069,0.5,34.3724,nan,0.29638
90,31269549947,0.30033,2.01341,0.16245,0.09141,29.98563,0.91698,33.21639,1.0,0.48868
91,18613375255,0.26766,2.51324,0.28514,0.1421,17.97942,0.24151,20.48454,nan,0.59643
92,5247645646,0.09629,4.36284,0.13444,0.0989,24.70445,0.30381,35.74449,nan,0.26855
93,2399061861,0.20413,0.07538,0.44803,0.2755,11.25158,0.38552,11.57186,2.0,0.48803
102,495828172,0.13428,0.85947,0.43756,0.27093,19.82013,0.37923,21.17661,nan,0.53055
103,20578345274,0.10648,1.8948,0.27849,0.29453,12.41127,1.13651,14.22694,1.0,0.33553
104,17443486092,0.06091,1.19005,0.40014,0.10245,29.56391,0.48344,30.55005,nan,0.4313
94,11917832007,0.1343,3.31928,0.26147,0.07805,59.41261,0.32798,65.26622,nan,0.2495
105,480350575,0.02325,-10.29802,0.05142,0.10329,47.57644,66.906,46.10322,1.0,0.6028
106,12893823107,0.03337,2.41181,0.21179,0.14581,61.06899,0.20448,68.87321,nan,0.15195
162,2237485204,0.29852,6.81006,0.13504,0.09413,7.17502,0.38094,17.65119,1.0,0.73617
107,5908911427,0.15311,1.55611,0.35481,0.13633,14.77162,0.20237,17.58878,1.0,0.23876
108,9963113431,0.08799,1.99677,0.12434,0.11375,24.75852,0.50866,29.27696,nan,0.32766
163,5190474154,0.27886,-0.9044,0.1548,0.30894,14.14332,0.82317,16.91634,2.0,0.39151
109,82177422690,0.28464,0.24458,0.24769,0.15614,85.28558,0.82744,86.52585,2.0,0.88509
110,12976550523,0.1349,5.51488,0.14937,0.04996,19.37769,1.34458,30.0951,nan,0.30832
164,3676449805,0.08643,-2.85733,0.28794,0.19915,46.29325,0.59523,44.44879,2.0,0.63451
165,19721528487,0.23416,0.64774,0.49047,0.16757,22.00565,0.04139,21.88862,1.0,0.37976
111,9196376301,0.14236,1.35331,0.13696,0.1144,44.61569,0.22583,47.22026,nan,0.22529
112,590656435,0.21435,6.31814,0.17532,0.09016,14.56839,0.52268,29.03252,1.0,0.44194
166,66690909743,0.09271,4.59568,0.23109,0.13864,70.26158,0.24098,82.45358,nan,0.27942
113,15279536310,0.04817,1.79088,0.16217,0.07043,38.92423,0.56007,42.24701,nan,0.22698
114,2551258796,0.37781,-2.54253,0.21605,0.43651,11.08644,3.16523,9.50621,3.0,0.86316
115,184589875237,0.2211,1.04952,0.55028,0.29399,19.57723,0.26242,22.55607,nan,0.37722
116,3820917714,0.0891,-2.35556,0.1422,0.09834,26.48213,0.88875,23.44469,nan,0.22765
117,21458497949,0.2972,0.5427,0.18445,0.35021,13.76252,0.56307,14.18804,2.0,0.51747
118,40443336765,0.0379,3.38253,0.10027,0.10035,44.013,0.52504,51.71789,nan,0.19526
119,23194609991,0.08054,2.90415,0.47235,0.22647,17.38449,0.12407,20.91687,nan,0.22087
167,6414008325,0.17009,-3.87597,0.13623,0.13121,37.46075,12.01165,32.5236,1.0,0.49587
120,2456092716,0.06923,3.63035,0.09085,0.09691,8.13548,0.41011,10.97533,nan,0.29631
121,15233704585,0.29316,0.78116,0.22338,0.14194,8.87753,0.31985,10.5165,1.0,0.3398
168,5815965000,0.12978,0.43988,0.17493,0.26455,8.34691,2.25645,8.59307,nan,0.3162
122,9516442726,0.13001,4.00882,0.02572,0.11063,17.05888,0.51173,21.59132,nan,0.34762
169,1656542921,0.03231,5.868,0.099,0.07854,27.26318,1.34694,43.64658,nan,0.24031
123,8200580115,0.15312,-0.24846,0.24417,0.19866,26.40346,0.26127,25.93286,2.0,0.35664
124,49369289123,0.42411,3.50896,0.71506,0.07819,16.37399,0.7341,24.93478,1.0,0.45724
125,286815775470,0.11067,0.96536,0.10623,0.08197,15.60637,0.45688,16.47551,nan,0.29221
126,80025086890,0.17269,-0.36824,0.41076,0.25119,64.41898,0.99016,66.51703,nan,0.40776
170,27175126582,0.18562,1.29895,0.1311,0.11744,31.08045,0.38663,32.84656,nan,0.45654
127,87907003035,0.21824,1.28644,0.40745,0.23123,48.85689,0.38122,50.09841,nan,0.4917
128,5344812450,0.20885,-1.20103,0.17001,0.2986,9.83132,0.39326,9.14887,3.0,0.51482
129,227057048403,0.21885,1.14853,0.20746,0.14629,19.63697,0.05183,20.56404,1.0,0.6492
171,5095652614,0.34558,3.05616,0.11419,0.05786,6.50759,19.10726,13.32581,nan,0.46235
130,13300142656,0.11973,3.16104,0.1648,0.10767,49.52675,0.71524,58.57572,nan,0.31251
131,20812590809,0.15464,1.91169,1.59375,0.28327,31.2351,0.16999,35.29597,1.0,0.44491
132,82452533200,0.63659,0.25808,0.12283,0.13246,22.76918,0.24043,23.0434,nan,0.86062
133,5876808522,0.40871,2.80103,0.13346,0.10526,36.53878,0.33987,50.14408,1.0,0.80035
134,10719742038,0.1183,0.01195,0.42349,0.10733,25.36599,0.41007,24.48615,1.0,0.39523
135,269625022867,0.2061,2.94056,0.36972,0.03823,79.03966,0.24687,87.67621,1.0,0.60434
136,6733689854,0.10687,-2.23644,0.05683,0.04878,72.99922,0.28047,70.66439,nan,0.68404
137,37841307523,0.15403,-0.05331,0.15583,0.08701,23.04249,0.18738,22.85665,1.0,0.3436
138,5055270222,0.36143,-0.84601,0.2639,0.14073,50.2798,0.26902,49.49868,nan,0.50245
139,2558503500,0.12247,-0.37715,0.04702,0.02423,15.29616,2.3802,14.48748,nan,0.39365
172,1182124345,0.14937,-2.20816,0.0969,0.10252,-277.91449,0.21514,-217.38197,nan,0.47633
140,76480395685,0.22919,1.56293,3.43182,0.49446,22.60955,0.28131,24.74094,2.0,0.60325
173,959444521,0.21437,3.4687,0.0504,0.2969,4.99451,0.97851,8.86249,nan,0.51352
174,4697382642,0.07462,-1.50386,0.11975,0.21682,9.965,0.02754,9.7156,1.0,0.50022
141,161939172927,0.18516,4.06153,0.16957,0.10841,15.15722,0.19544,23.24639,1.0,0.69728
142,16886177292,0.09818,-0.21684,0.29485,0.31828,23.70579,1.56376,23.42276,nan,0.2029
143,6770785851,0.08751,0.47823,0.1129,0.09553,11.97034,0.29368,12.34741,nan,0.17142
144,7374383154,0.09503,-3.55134,0.63844,0.03166,33.68017,0.39202,32.33865,nan,0.82088
175,92561302,0.15744,-2.94502,0.1464,0.23574,7.63702,1.28771,6.50446,nan,0.2103
145,2216418703,0.15372,4.55697,0.14122,0.13477,13.32833,0.3558,18.80879,1.0,0.55652
176,130156692137,0.24175,0.82952,0.19943,0.10522,14.35364,0.754,15.32197,1.0,0.29648
146,3720751506,0.19213,-0.49046,0.26929,0.15357,9.86567,0.72767,9.04553,3.0,0.75216
147,43654751171,0.33246,3.56726,0.07092,0.07786,26.7725,0.24526,34.14951,1.0,0.51274
177,4906840332,0.05966,4.01269,0.12757,0.1251,34.75528,1.27812,38.37274,nan,0.14182
148,54445002492,0.37104,-2.10129,0.18057,0.1231,56.5633,0.97023,53.29797,1.0,0.45016
179,141351538,0.08872,-5.34699,0.08314,0.03278,-272.55636,0.64913,-215.34893,nan,0.34628
178,6136649593,0.12022,-1.36085,0.2883,0.35436,84.1721,0.52671,82.74374,1.0,0.21814
149,412124850441,0.03649,-0.30864,0.31187,0.20669,62.26445,0.6779,61.71544,1.0,0.12613
180,19365556296,0.29033,0.86662,0.09562,0.05834,17.4648,2.16701,18.52526,nan,0.39253
150,6167579372,0.09694,6.13104,0.04111,0.05105,26.38782,0.18573,44.03366,nan,0.64929
181,11717118599,0.14226,0.78846,0.21514,0.21452,3.88663,0.34106,4.66056,1.0,0.27848
151,1292009335,0.09878,0.53459,0.21087,0.12471,54.43877,0.45003,59.71063,nan,0.29812
152,567544485,0.0551,2.0779,0.2189,0.30647,3.54381,0.16904,4.46979,nan,0.27266
182,139806142,0.12488,0.96477,0.18902,0.21207,7.58127,0.64863,8.55995,1.0,0.26657
153,5389904080,0.76333,3.81969,0.11515,0.20778,4.86632,0.45313,10.07969,nan,0.85743
183,138760438,0.02103,-11.89563,0.0248,0.05766,20.18013,3.33842,18.68206,1.0,0.61667
184,5710485645,0.25557,1.18739,0.48388,0.36231,6.28712,2.39615,7.74532,2.0,0.58148
154,46771835,0.05573,3.8691,0.06381,0.08724,5.30601,0.31789,9.19387,nan,0.25944
185,352790004,0.1746,4.86577,0.24827,0.05837,1.01627,0.29575,8.78669,1.0,0.28871
155,1577404079,0.11354,3.14819,0.22556,0.2038,13.90335,0.17393,18.10196,nan,0.4767
156,7003573493,0.21255,-1.5304,0.11008,0.22804,35.76114,1.24948,37.11572,nan,0.45116
157,66723302694,0.37191,3.09249,0.28108,0.15077,22.61443,0.21525,28.01812,2.0,0.50821
158,1577151092,0.14566,0.39933,0.11271,0.17012,17.9295,0.14503,18.00657,nan,0.35732
159,13731170537,0.17538,1.11986,0.16343,0.18836,29.12432,0.29931,30.45892,nan,0.37008
160,1888969955,0.12824,0.57254,1.03968,0.32901,45.94526,0.32369,76.20148,1.0,0.14354
161,753509422,0.19466,4.28371,0.27928,0.14492,5.96027,0.38958,9.80438,1.0,0.24476
186,52125814070,0.16129,0.23608,0.18417,0.13977,12.05379,0.98508,12.18021,nan,0.2591
187,748093835,0.14719,-76.12179,0.54933,0.16616,14.98601,0.58935,8.27736,nan,0.29365
188,166729993548,0.19865,3.74391,0.07586,0.08051,34.12828,0.32111,36.52147,1.0,0.59606
189,18899951565,0.11736,3.8238,0.48477,0.10643,19.33629,0.292,24.21806,nan,0.21155
203,45322452768,0.02864,-33.78715,0.07308,0.02932,60.37124,6.19786,58.50022,nan,0.81225
190,12872360000,0.14702,4.54553,0.37288,0.15191,9.68682,0.1238,18.25704,nan,0.32804
191,26782327265,0.22979,-1.14544,0.39375,0.5786,31.48622,1.41849,30.09393,3.0,0.57107
192,109464551184,0.23246,4.43453,0.35526,0.05237,21.78818,0.31048,33.43606,1.0,0.37429
193,149722351,0.04317,-1.30827,0.09831,0.05072,8.89349,0.01278,7.14615,nan,0.47717
204,41083815000,0.37426,-9.84785,0.16155,0.08567,19.63119,0.89856,10.66926,2.0,0.78925
194,24903079000,0.31801,1.64588,0.23518,0.05439,-36.1771,1.3027,-50.59984,nan,0.80481
195,29247782803,0.15883,0.15459,0.34401,0.11525,54.85517,1.50871,54.86763,nan,0.61684
196,16247537129,0.10782,1.86625,0.38807,0.10698,21.68329,0.53754,25.25544,nan,0.35544
205,1135425437,0.10825,2.64138,0.0302,0.11666,13.15018,0.71996,14.66545,nan,0.57906
197,6904994011,0.12269,-0.6159,0.33883,0.18405,9.83366,0.03825,12.05828,1.0,0.41202
198,16140390138,0.04919,-5.71028,0.50373,0.3952,17.74973,2.12389,16.69188,2.0,0.79169
199,9011037921,0.15172,0.55872,0.27802,0.18595,22.3564,0.28666,22.92529,nan,0.35535
206,4139391530,0.14388,1.73048,0.1509,0.17501,23.82502,0.98495,26.73861,1.0,0.39542
200,27264159403,0.16164,2.21986,0.27332,0.1962,25.17203,0.08667,27.69625,1.0,0.37407
201,1074314741,0.07829,3.70874,0.16165,0.17532,11.93819,0.4455,17.62543,1.0,0.30528
202,5902029159,0.07832,2.75311,0.20554,0.09379,27.44559,0.36059,31.77081,nan,0.1988
207,15395805803,0.09461,-6.7953,0.07615,0.11334,35.0493,2.23184,33.1463,1.0,0.81304
208,10051281608,0.27601,1.56565,0.33779,0.26755,22.08211,0.50441,23.90873,nan,0.3047
209,11745423353,0.13046,3.63577,0.1545,0.09808,19.96413,0.05978,27.2906,nan,0.23545
224,143730288000,0.18232,1.80297,0.19685,0.09895,44.83911,0.19402,46.93511,nan,0.37834
210,29266900000,0.21316,1.35057,0.37306,0.08313,22.23253,0.23911,23.15039,nan,0.72024
225,69176431893,0.16247,2.49603,0.23844,0.19249,34.83509,0.24153,38.17502,nan,0.43125
226,41403960000,0.27865,-2.35187,0.4327,0.149,86.33632,0.23803,77.13514,nan,0.78022
227,361366458,0.08587,2.21775,0.09436,0.09479,12.82158,0.07431,21.48991,nan,0.51462
228,236147500,0.14681,-1.65501,0.15592,0.34321,21.12072,0.7667,19.62318,2.0,0.76619
211,43571383753,0.19692,-0.46607,0.1412,0.20601,22.38161,0.50223,21.69732,2.0,0.78337
229,23645058326,0.08749,-0.83142,0.3358,0.56913,18.74806,0.61597,17.85739,nan,0.18446
231,888671350,0.10901,-8.05712,0.08288,0.02922,38.57338,0.77657,34.32368,1.0,0.66127
232,250051637,0.05626,0.87847,0.46445,0.25758,10.48627,0.83404,11.20924,1.0,0.13757
212,2553090976,0.21905,0.21225,0.21876,0.19743,36.5631,0.0037,36.85921,2.0,0.51061
230,3747475163,0.1147,2.04929,0.15717,0.0892,19.09719,0.15946,23.04239,nan,0.28367
233,8290142387,0.02466,-15.13112,0.06594,0.02971,24.79269,1.11529,23.30965,nan,0.46192
213,8282663790,0.06824,-1.51383,0.13706,0.06783,42.3045,1.11749,50.45034,nan,0.15511
234,168713047,0.04659,-0.49733,0.12651,0.06452,34.965,1.05149,34.63956,nan,0.25434
235,234498848,0.03898,1.10993,0.05582,0.18349,8.92657,0.68145,9.92802,nan,0.3019
214,76032046559,0.36815,-0.05307,0.27035,0.12853,12.99044,0.27128,12.43074,2.0,0.72794
215,12909796785,0.11442,-3.83247,0.12625,0.16519,22.76111,0.98524,19.15245,1.0,0.30841
216,2131640363,0.06974,-1.00512,0.11395,0.35368,6.87038,0.25174,6.81079,1.0,0.25745
236,30371962235,0.17879,5.00791,0.11146,0.12287,38.59215,0.64645,45.25308,1.0,0.55526
217,201775971,0.06538,1.75703,0.07732,0.34633,4.74063,0.48042,5.64027,nan,0.24575
218,83757850,0.17328,-3.3359,0.1487,0.18948,13.01811,0.76292,10.44709,nan,0.276
237,11454518524,0.15662,-0.35782,0.18011,0.10175,16.44567,0.81046,17.12853,2.0,0.60257
238,1151391856,0.25496,3.65147,0.44864,0.12302,2.69727,0.59989,3.64025,nan,0.79063
219,2268477986,0.16928,4.87209,0.15393,0.17107,15.69714,0.78273,20.41686,2.0,0.51314
220,9826774078,0.29222,-1.95497,0.2052,0.24865,25.19736,0.98578,21.84885,3.0,0.96253
239,7123874310,0.13927,0.07691,0.20705,0.18019,37.2722,0.87784,37.13677,nan,0.37236
240,22725025978,0.10647,0.9432,0.41582,0.22019,12.42122,0.14109,13.42254,1.0,0.89189
